#
# File 's2x3x2_11.bini.mod2.txt'
#
# Solution for the 2x3x2_11 matrix multiplication problem in Bini matrix (mod 2!) format
#
# Created: 24-Apr-2025 15:49:32
#
Bini 2 3 2 11

product Gamma         Alpha               Beta
  1 ;   0  0  0  1 ;  0  0  1  0  0  1 ;  0  0  0  0  0  1
  2 ;   0  1  0  1 ;  0  0  1  0  0  0 ;  0  0  1  0  1  1
  3 ;   1  1  0  1 ;  0  0  1  0  1  0 ;  0  0  1  0  1  0
  4 ;   1  1  1  1 ;  0  0  0  0  1  0 ;  0  1  1  1  1  0
  5 ;   1  0  1  0 ;  1  0  0  0  0  0 ;  1  1  0  1  0  0
  6 ;   0  0  1  0 ;  0  0  0  0  1  1 ;  0  0  0  0  1  0
  7 ;   1  1  1  0 ;  1  0  0  0  1  0 ;  0  1  0  1  0  0
  8 ;   0  1  0  0 ;  1  1  0  0  0  0 ;  0  0  0  1  0  0
  9 ;   0  0  1  0 ;  1  0  0  1  0  0 ;  1  0  0  0  0  0
 10 ;   0  0  0  1 ;  0  0  0  1  1  0 ;  0  1  0  0  0  0
 11 ;   1  0  0  0 ;  0  1  1  0  0  0 ;  0  0  1  0  0  0

#
